movie_name,ranking,score,score_num
战争之王,168,8.5,167201
梦之安魂曲,169,8.7,106670
可可西里,170,8.6,122823
小森林 冬春篇,171,8.9,102494
碧海蓝天,172,8.7,104940
地球上的星星,173,8.8,79401
蝙蝠侠：黑暗骑士崛起,174,8.5,279832
秒速5厘米,175,8.3,278486
二十二,176,8.9,66879
谍影重重2,177,8.5,151389
海盗电台,178,8.6,160030
恐怖游轮,179,8.3,300315
谍影重重,180,8.5,182725
阿飞正传,181,8.5,169876
未麻的部屋,182,8.8,87901
爆裂鼓手,183,8.6,222408
达拉斯买家俱乐部,184,8.6,158532
牯岭街少年杀人事件,185,8.7,99773
惊魂记,186,8.8,77590
魔女宅急便,187,8.4,182884
海边的曼彻斯特,188,8.6,125875
再次出发之纽约遇见你,189,8.5,155956
绿里奇迹,190,8.7,100941
迁徙的鸟,191,9.1,50146
勇闯夺命岛,192,8.5,135637
东京物语,193,9.2,47435
荒野生存,194,8.6,121188
被解救的姜戈,195,8.5,246865
末路狂花,196,8.7,98669
卡萨布兰卡,197,8.6,118372
终结者2：审判日,198,8.5,133678
燕尾蝶,199,8.6,104240
青蛇,200,8.4,206964
这个男人来自地球,201,8.5,167328
忠犬八公物语,202,9.0,52920
变脸,203,8.4,203966
哪吒闹海,204,8.8,74606
英国病人,205,8.4,167216
E.T. 外星人,206,8.5,144517
源代码,207,8.3,388606
新龙门客栈,208,8.4,172171
黄金三镖客,209,9.1,48284
发条橙,210,8.4,177279
黑客帝国3：矩阵革命,211,8.5,145941
叫我第一名,212,8.6,103629
美国丽人,213,8.4,174963
城市之光,214,9.2,40317
穆赫兰道,215,8.3,222079
非常嫌疑犯,216,8.6,109622
无耻混蛋,217,8.4,211788
初恋这件小事,218,8.2,433158
上帝也疯狂,219,8.6,91344
勇士,220,8.9,83154
蓝色大门,221,8.3,262647
模仿游戏,222,8.5,237223
爱·回家,223,9.0,44942
无敌破坏王,224,8.6,175383
大卫·戈尔的一生,225,8.7,83726
曾经,226,8.3,194672
血钻,227,8.5,121899
麦兜故事,228,8.5,121347
国王的演讲,229,8.3,319637
爱在午夜降临前,230,8.7,107068
暖暖内含光,231,8.4,137044
枪火,232,8.6,92778
蝴蝶,233,8.6,91832
遗愿清单,234,8.5,118294
疯狂的石头,235,8.2,291117
千钧一发,236,8.7,78576
巴黎淘气帮,237,8.6,100964
与狼共舞,238,8.9,53711
荒岛余生,239,8.4,124497
偷拐抢骗,240,8.5,110338
月球,241,8.5,134992
夜访吸血鬼,242,8.3,188359
我爱你,243,9.0,51860
寿司之神,244,8.8,77075
房间,245,8.8,135144
头脑特工队,246,8.7,204548
爱在暹罗,247,8.3,211328
中央车站,248,8.7,72868
彗星来的那一夜,249,8.4,155930
廊桥遗梦,250,8.5,92461
movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,868065
霸王别姬,2,9.5,623625
这个杀手不太冷,3,9.4,830521
阿甘正传,4,9.4,708363
美丽人生,5,9.5,413191
千与千寻,6,9.2,659769
辛德勒的名单,7,9.4,380900
泰坦尼克号,8,9.2,651205
盗梦空间,9,9.2,759467
机器人总动员,10,9.3,497309
海上钢琴师,11,9.2,597385
三傻大闹宝莱坞,12,9.1,671353
忠犬八公的故事,13,9.2,453108
放牛班的春天,14,9.2,450639
大话西游之大圣娶亲,15,9.2,486127
龙猫,16,9.1,416869
教父,17,9.2,342434
楚门的世界,18,9.1,451886
乱世佳人,19,9.2,270447
天堂电影院,20,9.1,308712
触不可及,21,9.1,364585
当幸福来敲门,22,8.9,536728
熔炉,23,9.2,250212
搏击俱乐部,24,9.0,403172
无间道,25,9.0,396870
十二怒汉,26,9.4,170209
怦然心动,27,8.9,542650
指环王3：王者无敌,28,9.1,283541
星际穿越,29,9.1,479567
少年派的奇幻漂流,30,9.0,575860
天空之城,31,9.0,330476
鬼子来了,32,9.2,226327
罗马假日,33,8.9,383630
蝙蝠侠：黑暗骑士,34,9.0,316468
大话西游之月光宝盒,35,8.9,393078
活着,36,9.1,263862
两杆大烟枪,37,9.0,271801
飞屋环游记,38,8.9,494479
窃听风暴,39,9.1,220281
飞越疯人院,40,9.0,275586
海豚湾,41,9.3,180550
闻香识女人,42,8.9,318186
V字仇杀队,43,8.8,410525
哈尔的移动城堡,44,8.9,344048
教父2,45,9.1,184316
美丽心灵,46,8.9,301344
